,Age,Gender,DaysDrink,Overdrawn
1,19,Female,3,0
2,19,Male,20,0
3,19,Male,6,0
4,19,Female,10,0
5,19,Female,0,0
6,20,Male,0,0
7,19,Female,15,1
8,19,Female,0,0
9,25,Male,5,1
10,19,Male,3,0
11,19,Female,3,1
12,19,Male,7,0
13,21,F,0,0
14,18,Male,7,0
15,19,Female,7,0
16,20,Male,20,0
17,20,Female,7,0
18,18,Female,0,0
19,19,M,17,0
20,19,Female,1,0
21,22,Female,0,1
22,21,Male,0,0
23,19,Male,5,0
24,19,F,10,1
25,18,Male,3,0
26,NA,Male,0,1
27,19,Female,0,0
28,19,M,2,0
29,19,F,0,0
30,19,Male,22,0
31,19,Female,0,0
32,21,M,0,0
33,21,Male,17,0
34,22,Female,2,0
35,22,Male,2,0
36,20,Male,29,0
37,19,Female,10,0
38,19,Male,0,0
39,18,Male,16,1
40,19,Female,1,0
41,21,Female,1,0
42,19,Female,1,0
43,18,Female,0,0
44,19,Female,1,0
45,20,F,19,1
46,19,Female,1,1
47,NA,Female,0,0
48,20,F,3,0
49,19,Female,0,0
50,19,Female,30,0
51,20,Male,25,0
52,19,Male,0,0
53,18,Female,2,0
54,19,Male,0,0
55,19,Female,10,0
56,19,Female,6,0
57,18,Female,1,0
58,19,Female,18,1
59,21,Female,2,0
60,20,Female,4,0
61,20,Male,15,0
62,19,Male,5,0
63,21,Female,3,0
64,20,Male,5,0
65,18,Female,13,0
66,19,Male,2,0
67,18,Female,18,1
68,22,Male,0,0
69,19,Female,1,1
70,NA,Female,0,1
71,18,Female,0,0
72,19,Male,0,0
73,18,M,0,0
74,18,Male,10,0
75,19,Female,0,0
76,19,M,0,0
77,19,Male,4,0
78,19,Male,8,0
79,18,M,0,0
80,19,Male,0,0
81,19,F,10,0
82,19,Male,2,0
83,23,Male,12,0
84,20,M,6,0
85,21,Male,0,0
86,19,Female,2,0
87,19,Male,13,0
88,19,Female,0,0
89,20,Male,0,0
90,18,F,0,0
91,19,Female,20,0
92,18,Female,2,0
93,19,Female,13,0
94,19,Male,1,0
95,19,Female,8,0
96,20,Male,13,0
97,18,Female,0,0
98,21,Female,20,0
99,20,Female,0,0
100,19,Male,0,0
101,19,Male,6,0
102,21,M,1,0
103,19,Male,7,0
104,18,Male,0,0
105,21,Male,2,0
106,18,Female,1,0
107,19,Female,2,0
108,22,Female,2,0
109,22,F,0,1
110,22,Female,0,0
111,19,Male,12,0
112,19,Female,5,0
113,19,Male,0,0
114,21,Male,0,0
115,20,Male,16,0
116,19,Female,1,0
117,20,Male,0,0
118,19,Female,1,0
119,19,Male,4,0
120,22,Male,30,1
121,20,Female,0,0
122,20,Female,9,1
123,19,F,0,0
124,19,Female,2,0
125,19,Male,2,0
126,21,Female,1,1
127,19,Female,4,0
128,19,Female,2,0
129,21,Male,10,0
130,20,Female,2,0
131,21,F,0,1
132,24,Female,0,0
133,19,Female,6,0
134,19,Female,3,0
135,18,Male,1,NA
136,19,Female,2,0
137,21,Female,1,0
138,21,F,0,0
139,20,F,6,0
140,19,Female,1,0
141,20,Male,2,0
142,19,Male,3,0
143,20,Male,0,0
144,18,Female,3,0
145,19,Male,NA,NA
146,21,Male,1,0
147,19,Female,0,0
148,18,Female,5,0
149,21,Male,0,0
150,19,Male,10,0
151,19,Male,0,0
152,20,Female,0,0
153,20,Male,15,0
154,20,Male,7,0
155,19,Female,0,0
156,18,Female,3,1
157,19,Male,7,0
158,19,Male,10,0
159,19,Female,10,0
160,19,Female,2,0
161,19,F,10,0
162,18,Female,0,0
163,21,Female,9,0
164,18,Female,5,0
165,19,Male,18,0
166,19,Female,0,0
167,18,Female,3,0
168,19,Male,8,0
169,20,Female,12,0
170,20,Male,5,0
171,18,Female,6,0
172,20,Male,2,0
173,20,F,2,0
174,19,Female,13,1
175,19,Male,2,1
176,19,Male,22,0
177,19,Female,1,1
178,19,Female,1,0
179,18,Female,0,0
180,18,Male,20,0
181,19,Male,7,0
182,19,Female,15,0
183,20,Female,0,0
