,Gender,Gender_Male,Gender_Female,Age,DaysDrink,Overdrawn
0,Female,0,1,19,Low,0
1,Male,1,0,19,High,0
2,Male,1,0,19,Moderate,0
3,Female,0,1,19,Moderate,0
4,Female,0,1,19,None,0
5,Male,1,0,20,None,0
6,Female,0,1,19,High,1
7,Female,0,1,19,None,0
9,Male,1,0,19,Low,0
10,Female,0,1,19,Low,1
11,Male,1,0,19,Moderate,0
12,Female,0,1,21,None,0
13,Male,1,0,18,Moderate,0
14,Female,0,1,19,Moderate,0
15,Male,1,0,20,High,0
16,Female,0,1,20,Moderate,0
17,Female,0,1,18,None,0
18,Male,1,0,19,High,0
19,Female,0,1,19,Low,0
20,Female,0,1,19,None,1
21,Male,1,0,21,None,0
22,Male,1,0,19,Moderate,0
23,Female,0,1,19,Moderate,1
24,Male,1,0,18,Low,0
25,Male,1,0,19,None,1
26,Female,0,1,19,None,0
27,Male,1,0,19,Low,0
28,Female,0,1,19,None,0
29,Male,1,0,19,High,0
30,Female,0,1,19,None,0
31,Male,1,0,21,None,0
32,Male,1,0,21,High,0
33,Female,0,1,19,Low,0
34,Male,1,0,19,Low,0
35,Male,1,0,20,High,0
36,Female,0,1,19,Moderate,0
37,Male,1,0,19,None,0
38,Male,1,0,18,High,1
39,Female,0,1,19,Low,0
40,Female,0,1,21,Low,0
41,Female,0,1,19,Low,0
42,Female,0,1,18,None,0
43,Female,0,1,19,Low,0
44,Female,0,1,20,High,1
45,Female,0,1,19,Low,1
46,Female,0,1,19,None,0
47,Female,0,1,20,Low,0
48,Female,0,1,19,None,0
49,Female,0,1,19,High,0
50,Male,1,0,20,High,0
51,Male,1,0,19,None,0
52,Female,0,1,18,Low,0
53,Male,1,0,19,None,0
54,Female,0,1,19,Moderate,0
55,Female,0,1,19,Moderate,0
56,Female,0,1,18,Low,0
57,Female,0,1,19,High,1
58,Female,0,1,21,Low,0
59,Female,0,1,20,Low,0
60,Male,1,0,20,High,0
61,Male,1,0,19,Moderate,0
62,Female,0,1,21,Low,0
63,Male,1,0,20,Moderate,0
64,Female,0,1,18,High,0
65,Male,1,0,19,Low,0
66,Female,0,1,18,High,1
67,Male,1,0,19,None,0
68,Female,0,1,19,Low,1
69,Female,0,1,19,None,1
70,Female,0,1,18,None,0
71,Male,1,0,19,None,0
72,Male,1,0,18,None,0
73,Male,1,0,18,Moderate,0
74,Female,0,1,19,None,0
75,Male,1,0,19,None,0
76,Male,1,0,19,Low,0
77,Male,1,0,19,Moderate,0
78,Male,1,0,18,None,0
79,Male,1,0,19,None,0
80,Female,0,1,19,Moderate,0
81,Male,1,0,19,Low,0
82,Male,1,0,19,High,0
83,Male,1,0,20,Moderate,0
84,Male,1,0,21,None,0
85,Female,0,1,19,Low,0
86,Male,1,0,19,High,0
87,Female,0,1,19,None,0
88,Male,1,0,20,None,0
89,Female,0,1,18,None,0
90,Female,0,1,19,High,0
91,Female,0,1,18,Low,0
92,Female,0,1,19,High,0
93,Male,1,0,19,Low,0
94,Female,0,1,19,Moderate,0
95,Male,1,0,20,High,0
96,Female,0,1,18,None,0
97,Female,0,1,21,High,0
98,Female,0,1,20,None,0
99,Male,1,0,19,None,0
100,Male,1,0,19,Moderate,0
101,Male,1,0,21,Low,0
102,Male,1,0,19,Moderate,0
103,Male,1,0,18,None,0
104,Male,1,0,21,Low,0
105,Female,0,1,18,Low,0
106,Female,0,1,19,Low,0
107,Female,0,1,19,Low,0
108,Female,0,1,19,None,1
109,Female,0,1,19,None,0
110,Male,1,0,19,High,0
111,Female,0,1,19,Moderate,0
112,Male,1,0,19,None,0
113,Male,1,0,21,None,0
114,Male,1,0,20,High,0
115,Female,0,1,19,Low,0
116,Male,1,0,20,None,0
117,Female,0,1,19,Low,0
118,Male,1,0,19,Low,0
119,Male,1,0,19,High,1
120,Female,0,1,20,None,0
121,Female,0,1,20,Moderate,1
